,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,PassedDoor
0,"['False', 'L', '0.3576341127922971']","['False', 'L', '0.359009628610729']","['False', 'L', '0.36038514442916086']","['False', 'L', '0.35832187070151306']","['False', 'L', '0.3562585969738652']","['False', 'L', '0.3548830811554333']","['False', 'L', '0.35350756533700134']","['False', 'L', '0.35213204951856947']","['False', 'L', '0.3500687757909216']","['False', 'L', '0.34731774415405775']","['False', 'L', '0.3452544704264099']","['False', 'L', '0.34250343878954614']","['False', 'L', '0.33975240715268223']","['False', 'L', '0.3376891334250344']","['False', 'L', '0.3363136176066025']","['False', 'L', '0.3356258596973865']","['False', 'L', '0.3356258596973865']","['False', 'L', '0.3356258596973865']","['False', 'L', '0.3356258596973865']","['False', 'L', '0.3342503438789546']","['False', 'L', '0.3328748280605227']","['False', 'L', '0.33356258596973865']","['False', 'L', '0.3328748280605227']","['False', 'L', '0.33218707015130666']","['False', 'L', '0.3314993122420908']","['False', 'L', '0.3301237964236589']","['False', 'L', '0.328748280605227']","['False', 'L', '0.32737276478679506']","['False', 'L', '0.32668500687757906']","['False', 'L', '0.32599724896836313']","['False', 'L', '0.32599724896836313']","['False', 'L', '0.328060522696011']","['False', 'L', '0.3301237964236589']","['False', 'L', '0.3308115543328748']","['False', 'L', '0.3314993122420908']","['False', 'L', '0.33356258596973865']","['False', 'L', '0.3356258596973865']","['False', 'L', '0.3370013755158185']","['False', 'L', '0.3390646492434663']","['False', 'L', '0.34112792297111416']","['False', 'L', '0.343191196698762']","['False', 'L', '0.34387895460797807']","['False', 'L', '0.3459422283356259']","['False', 'L', '0.3486932599724897']","['False', 'L', '0.35144429160935353']","['False', 'L', '0.3548830811554333']","['False', 'L', '0.35832187070151306']","['False', 'L', '0.3617606602475929']","['False', 'L', '0.36451169188445665']","['False', 'L', '0.3658872077028886']","{'False': 0.9417098445595855, 'True': 0.05829015544041451}"
1,"['False', 'R', '0.48211829436038517']","['False', 'R', '0.48349381017881704']","['False', 'R', '0.48486932599724897']","['False', 'R', '0.48762035763411277']","['False', 'R', '0.49105914718019256']","['False', 'R', '0.49449793672627235']","['False', 'R', '0.49793672627235214']","['False', 'R', '0.5020632737276479']","['False', 'R', '0.5068775790921596']","['False', 'R', '0.5116918844566712']","['False', 'R', '0.515130674002751']","['False', 'R', '0.5185694635488308']","['False', 'R', '0.5220082530949106']","['False', 'R', '0.5233837689133425']","['False', 'R', '0.5247592847317745']","['False', 'R', '0.5254470426409904']","['False', 'R', '0.5254470426409904']","['False', 'R', '0.5261348005502063']","['False', 'R', '0.5268225584594223']","['False', 'R', '0.5295735900962861']","['False', 'R', '0.530949105914718']","['False', 'R', '0.530949105914718']","['False', 'R', '0.53232462173315']","['False', 'R', '0.5343878954607978']","['False', 'R', '0.5364511691884457']","['False', 'R', '0.5385144429160935']","['False', 'R', '0.5405777166437414']","['False', 'R', '0.5426409903713892']","['False', 'R', '0.5426409903713892']","['False', 'R', '0.5426409903713892']","['False', 'R', '0.5426409903713892']","['False', 'R', '0.5412654745529574']","['False', 'R', '0.5392022008253095']","['False', 'R', '0.5385144429160935']","['False', 'R', '0.5364511691884457']","['False', 'R', '0.5330123796423659']","['False', 'R', '0.5295735900962861']","['False', 'R', '0.5268225584594223']","['False', 'R', '0.5240715268225584']","['False', 'R', '0.5213204951856947']","['False', 'R', '0.517193947730399']","['False', 'R', '0.5137551581843192']","['False', 'R', '0.5096286107290234']","['False', 'R', '0.5055020632737276']","['False', 'R', '0.5006877579092159']","['False', 'R', '0.4958734525447043']","['False', 'R', '0.4903713892709766']","['False', 'R', '0.4862448418156809']","['False', 'R', '0.4828060522696011']","['False', 'R', '0.48005502063273725']",
2,"['False', 'S', '0.1602475928473177']","['False', 'S', '0.1574965612104539']","['False', 'S', '0.15474552957359006']","['False', 'S', '0.15405777166437415']","['False', 'S', '0.15268225584594222']","['False', 'S', '0.15061898211829436']","['False', 'S', '0.14855570839064647']","['False', 'S', '0.14580467675378264']","['False', 'S', '0.14305364511691884']","['False', 'S', '0.14099037138927098']","['False', 'S', '0.13961485557083905']","['False', 'S', '0.13892709766162312']","['False', 'S', '0.13823933975240715']","['False', 'S', '0.13892709766162312']","['False', 'S', '0.13892709766162312']","['False', 'S', '0.13892709766162312']","['False', 'S', '0.13892709766162312']","['False', 'S', '0.13823933975240715']","['False', 'S', '0.1375515818431912']","['False', 'S', '0.1361760660247593']","['False', 'S', '0.1361760660247593']","['False', 'S', '0.13548830811554333']","['False', 'S', '0.1348005502063274']","['False', 'S', '0.1334250343878955']","['False', 'S', '0.13204951856946354']","['False', 'S', '0.1313617606602476']","['False', 'S', '0.13067400275103164']","['False', 'S', '0.12998624484181565']","['False', 'S', '0.13067400275103164']","['False', 'S', '0.1313617606602476']","['False', 'S', '0.1313617606602476']","['False', 'S', '0.13067400275103164']","['False', 'S', '0.13067400275103164']","['False', 'S', '0.13067400275103164']","['False', 'S', '0.13204951856946354']","['False', 'S', '0.1334250343878955']","['False', 'S', '0.1348005502063274']","['False', 'S', '0.1361760660247593']","['False', 'S', '0.13686382393397525']","['False', 'S', '0.1375515818431912']","['False', 'S', '0.13961485557083905']","['False', 'S', '0.14236588720770288']","['False', 'S', '0.14442916093535077']","['False', 'S', '0.14580467675378264']","['False', 'S', '0.14786795048143053']","['False', 'S', '0.14924346629986246']","['False', 'S', '0.15130674002751032']","['False', 'S', '0.15199449793672629']","['False', 'S', '0.15268225584594222']","['False', 'S', '0.15405777166437415']",
3,"['True', 'L', '0.0']","['True', 'L', '0.0']","['True', 'L', '0.0']","['True', 'L', '0.011111111111111112']","['True', 'L', '0.04444444444444445']","['True', 'L', '0.07777777777777779']","['True', 'L', '0.11111111111111109']","['True', 'L', '0.14444444444444443']","['True', 'L', '0.17777777777777776']","['True', 'L', '0.21111111111111114']","['True', 'L', '0.24444444444444446']","['True', 'L', '0.28888888888888886']","['True', 'L', '0.3333333333333333']","['True', 'L', '0.37777777777777777']","['True', 'L', '0.4111111111111111']","['True', 'L', '0.43333333333333335']","['True', 'L', '0.4444444444444444']","['True', 'L', '0.4666666666666667']","['True', 'L', '0.4888888888888889']","['True', 'L', '0.5111111111111111']","['True', 'L', '0.5333333333333333']","['True', 'L', '0.5222222222222223']","['True', 'L', '0.5111111111111111']","['True', 'L', '0.5']","['True', 'L', '0.4888888888888889']","['True', 'L', '0.5']","['True', 'L', '0.5111111111111111']","['True', 'L', '0.5222222222222223']","['True', 'L', '0.5333333333333333']","['True', 'L', '0.5444444444444444']","['True', 'L', '0.5333333333333333']","['True', 'L', '0.5111111111111111']","['True', 'L', '0.4888888888888889']","['True', 'L', '0.4888888888888889']","['True', 'L', '0.4888888888888889']","['True', 'L', '0.4777777777777778']","['True', 'L', '0.4666666666666667']","['True', 'L', '0.4666666666666667']","['True', 'L', '0.45555555555555555']","['True', 'L', '0.4444444444444444']","['True', 'L', '0.43333333333333335']","['True', 'L', '0.4222222222222222']","['True', 'L', '0.4']","['True', 'L', '0.3666666666666667']","['True', 'L', '0.3333333333333333']","['True', 'L', '0.28888888888888886']","['True', 'L', '0.24444444444444446']","['True', 'L', '0.2']","['True', 'L', '0.16666666666666669']","['True', 'L', '0.15555555555555556']",
4,"['True', 'R', '1.0']","['True', 'R', '1.0']","['True', 'R', '1.0']","['True', 'R', '0.9888888888888889']","['True', 'R', '0.9555555555555556']","['True', 'R', '0.9222222222222223']","['True', 'R', '0.8888888888888888']","['True', 'R', '0.8555555555555555']","['True', 'R', '0.8222222222222222']","['True', 'R', '0.7777777777777778']","['True', 'R', '0.7333333333333333']","['True', 'R', '0.6888888888888889']","['True', 'R', '0.6444444444444445']","['True', 'R', '0.6']","['True', 'R', '0.5666666666666667']","['True', 'R', '0.5444444444444444']","['True', 'R', '0.5333333333333333']","['True', 'R', '0.5']","['True', 'R', '0.4666666666666667']","['True', 'R', '0.4222222222222222']","['True', 'R', '0.4']","['True', 'R', '0.4']","['True', 'R', '0.4']","['True', 'R', '0.3888888888888889']","['True', 'R', '0.37777777777777777']","['True', 'R', '0.3666666666666667']","['True', 'R', '0.35555555555555557']","['True', 'R', '0.34444444444444444']","['True', 'R', '0.34444444444444444']","['True', 'R', '0.34444444444444444']","['True', 'R', '0.35555555555555557']","['True', 'R', '0.3666666666666667']","['True', 'R', '0.37777777777777777']","['True', 'R', '0.3666666666666667']","['True', 'R', '0.35555555555555557']","['True', 'R', '0.3666666666666667']","['True', 'R', '0.37777777777777777']","['True', 'R', '0.3888888888888889']","['True', 'R', '0.4']","['True', 'R', '0.4111111111111111']","['True', 'R', '0.4444444444444444']","['True', 'R', '0.4777777777777778']","['True', 'R', '0.5111111111111111']","['True', 'R', '0.5444444444444444']","['True', 'R', '0.5777777777777777']","['True', 'R', '0.6222222222222222']","['True', 'R', '0.6666666666666666']","['True', 'R', '0.7']","['True', 'R', '0.7222222222222222']","['True', 'R', '0.7333333333333333']",
5,"['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.0']","['True', 'S', '0.011111111111111112']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.022222222222222227']","['True', 'S', '0.03333333333333333']","['True', 'S', '0.04444444444444445']","['True', 'S', '0.06666666666666667']","['True', 'S', '0.06666666666666667']","['True', 'S', '0.07777777777777779']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.11111111111111109']","['True', 'S', '0.13333333333333333']","['True', 'S', '0.13333333333333333']","['True', 'S', '0.13333333333333333']","['True', 'S', '0.13333333333333333']","['True', 'S', '0.12222222222222225']","['True', 'S', '0.11111111111111109']","['True', 'S', '0.11111111111111109']","['True', 'S', '0.12222222222222225']","['True', 'S', '0.13333333333333333']","['True', 'S', '0.14444444444444443']","['True', 'S', '0.15555555555555556']","['True', 'S', '0.15555555555555556']","['True', 'S', '0.15555555555555556']","['True', 'S', '0.14444444444444443']","['True', 'S', '0.14444444444444443']","['True', 'S', '0.14444444444444443']","['True', 'S', '0.12222222222222225']","['True', 'S', '0.10000000000000002']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.08888888888888888']","['True', 'S', '0.10000000000000002']","['True', 'S', '0.11111111111111109']","['True', 'S', '0.11111111111111109']",
